district,state,abbreviation,state_dist,year,laborforce_unemployed,PercentCar,PercentCarpool,PercentPublicTrans,Walked,Other_means,Management_business_science_and_arts,Service,Sales_and_office,Natural_resources_construction_and_maintenance,Production_transportation_and_material_moving,Private_wage_and_salary_workers,Government_workers,Less_than_10000,Median_household_income,No_health_insurance,non_fam_household,college_enroll,vet_percent,diff_house_1year,foreign_born,ForeignNotCit,ForeignCit,home_lang_not_english,own_computer,total_pop,median_age,white_pct,black_pct,amer_ind,asianpac,hispanic_pct,PctU20,Pct20t45,Pct45t65,Pct65plus,U25k,r25k_50k,r50k_100k,r100k_200k,r200kplus,NoHighSchool,HighSchoolEd,SomeCollege,BachelorsOrHigher,pct_won,party
4,Alabama,AL,AL-4,2016,3.3,87.1,8.3,0.2,1.0,0.5,28.0,17.0,22.0,12.0,21.1,79.0,14.2,9.5,41110,9.5,31.2,19.5,8.1,11.9,3.4,2.38,1.02,5.7,81.6,683273,40.7,88.4,7.1,0.8,0.9,6.7,25.2,29.7,27.2,17.8,30.1,28.0,28.1,11.4,2.3,19.6,33.4,30.0,17.1,98.53,R
5,Alabama,AL,AL-5,2016,3.1,88.8,6.7,0.0,0.6,1.0,39.1,16.5,22.1,8.0,14.3,77.0,17.8,8.3,51690,8.2,36.1,29.1,10.2,15.6,4.3,2.6746,1.6254,6.2,86.9,712529,40.1,76.0,17.9,0.7,1.6,5.1,24.8,31.9,27.5,15.7,25.2,22.9,28.8,18.5,4.7,13.6,28.0,28.2,30.3,66.7,R
6,Alabama,AL,AL-6,2016,2.7,87.0,8.0,0.1,0.7,0.8,42.6,13.5,25.5,8.7,9.7,82.5,12.9,5.2,61413,6.7,32.3,22.7,7.5,12.9,4.8,3.1056,1.6944,7.1,89.7,706308,39.0,78.5,14.9,0.2,1.6,4.8,26.0,32.1,26.4,15.5,18.6,22.4,31.6,21.2,6.2,9.9,24.8,28.5,36.7,74.49,R
7,Alabama,AL,AL-7,2016,6.1,82.5,11.1,1.0,1.9,1.2,28.2,21.2,24.6,7.6,18.4,79.8,15.7,14.5,34664,10.5,40.0,33.3,7.4,14.4,2.9,2.1257,0.7743,4.3,78.8,665630,36.5,33.0,63.5,0.2,1.0,2.6,26.2,33.8,25.1,15.1,37.7,25.5,25.3,9.8,1.7,16.1,33.6,31.0,19.4,98.41,D
7,Alabama,AL,AL-7,2018,5.0,82.3,11.0,1.1,1.8,0.8,31.0,18.9,20.1,8.6,21.5,78.9,16.3,14.6,37123,11.7,42.6,34.2,6.5,15.4,2.7,2.0277,0.6723,4.1,81.5,660468,36.4,33.5,63.1,0.3,0.8,3.5,26.9,33.5,25.1,15.3,37.3,23.7,26.1,11.0,1.8,15.4,33.6,30.6,20.3,97.8,D
5,Alabama,AL,AL-5,2018,2.7,88.3,5.9,0.2,1.0,1.0,42.0,13.8,20.8,8.5,14.9,79.1,15.9,6.2,57174,8.7,32.8,27.8,9.8,14.5,4.2,2.3016,1.8984,6.5,90.5,725634,39.5,74.4,18.0,0.4,1.7,5.3,24.6,32.0,27.0,16.5,21.7,22.6,30.2,20.4,5.2,11.2,26.9,27.9,34.0,61.02,R
6,Alabama,AL,AL-6,2018,2.4,86.3,7.6,0.0,0.5,0.5,41.8,13.3,24.3,9.2,11.5,82.4,12.2,5.4,66835,7.5,30.9,23.5,7.4,12.7,4.5,2.5469999999999997,1.953,7.3,92.3,713595,40.0,78.0,15.3,0.2,2.0,4.7,24.4,32.1,26.1,16.7,16.8,19.6,31.7,24.1,7.9,9.0,25.0,29.7,36.3,69.18,R
1,Alabama,AL,AL-1,2018,2.8,86.1,6.8,0.2,0.9,1.7,33.0,18.5,21.6,11.5,15.4,80.9,12.8,8.8,46445,12.3,36.4,19.0,9.4,11.9,3.0,1.401,1.599,4.3,87.8,715346,40.3,67.1,27.5,1.0,1.5,3.4,23.4,30.4,26.5,17.8,27.1,25.4,29.5,14.4,3.6,13.0,33.3,29.2,24.4,63.16,R
2,Alabama,AL,AL-2,2018,3.2,86.7,8.0,0.3,1.5,1.2,33.3,16.3,22.2,9.6,18.5,75.2,18.4,9.9,48290,10.5,35.5,23.1,10.0,13.7,2.7,1.3419,1.3581,4.4,84.7,678122,38.8,62.9,32.1,0.4,1.1,3.7,24.3,32.2,25.9,17.1,28.2,23.0,30.4,15.4,3.0,14.2,32.2,30.9,22.6,61.39,R
3,Alabama,AL,AL-3,2018,3.7,86.3,7.9,0.6,1.5,0.8,32.9,16.3,21.1,10.1,19.6,78.5,16.5,11.3,45832,9.3,33.3,31.4,9.3,14.2,2.7,1.5552,1.1448,4.7,88.1,708409,39.2,69.3,26.0,0.2,1.8,3.1,24.5,32.1,25.9,16.8,30.0,22.4,29.0,15.3,3.2,14.6,31.5,32.2,21.8,63.72,R
4,Alabama,AL,AL-4,2018,2.6,87.6,8.4,0.2,0.5,0.6,29.9,16.1,19.5,11.2,23.3,79.5,13.1,8.3,45387,10.3,30.6,19.1,7.4,10.9,3.4,2.4888,0.9112,5.7,84.5,686297,40.5,86.1,7.5,0.6,0.5,6.5,24.1,29.6,26.5,18.6,28.8,25.4,28.5,14.6,3.0,17.0,33.6,31.5,17.7,79.77,R
0,Alaska,AK,AK-0,2014,5.1,69.5,12.0,1.3,8.0,5.3,35.8,18.6,21.0,12.9,11.7,68.1,25.3,3.9,71583,17.2,33.9,25.6,13.1,18.6,7.4,3.2560000000000002,4.144,16.6,91.5,736732,33.3,65.6,3.4,14.0,7.1,6.7,28.2,36.6,25.6,9.5,14.7,19.1,32.2,27.5,6.4,7.1,28.4,36.5,28.0,50.97,R
0,Alaska,AK,AK-0,2016,5.4,69.0,12.2,1.2,7.6,4.8,37.2,17.6,22.3,11.6,11.3,67.5,25.6,3.6,76440,14.0,34.0,23.2,12.2,17.9,7.7,3.3033,4.3967,16.5,93.9,741894,33.5,64.4,3.2,14.6,7.4,6.9,27.8,36.6,25.5,10.2,13.0,17.4,33.1,29.3,7.1,6.9,28.0,35.6,29.6,50.32,R
0,Alaska,AK,AK-0,2018,4.4,68.0,12.3,1.2,7.8,5.5,37.8,18.3,20.1,11.4,12.4,67.9,25.3,4.5,74346,12.6,34.2,23.5,12.6,15.6,8.2,3.3046,4.8954,16.3,95.6,737438,34.9,64.4,3.4,15.1,7.4,7.2,27.9,35.9,24.7,11.9,14.2,16.9,32.7,27.3,8.8,6.7,28.3,34.8,30.2,53.08,R
1,Arizona,AZ,AZ-1,2014,5.6,75.8,10.2,0.9,4.6,2.9,33.0,22.8,23.1,10.0,11.2,71.6,22.9,10.6,47618,13.9,31.6,26.1,9.4,15.6,6.4,3.84,2.56,26.9,79.4,739373,37.0,65.8,2.5,23.5,1.8,21.8,28.3,31.2,24.3,16.4,27.1,24.7,30.8,14.4,2.8,15.0,27.6,34.2,23.2,52.61,D
2,Arizona,AZ,AZ-2,2014,4.5,78.0,9.4,2.6,2.1,3.2,37.9,21.7,25.1,7.8,7.4,74.5,18.8,7.1,47586,11.0,41.0,31.6,13.3,20.7,11.4,5.7228,5.6772,23.0,88.0,713036,40.9,81.4,3.6,1.6,3.3,27.6,22.9,31.6,25.8,19.6,25.4,26.4,29.6,14.9,3.6,8.9,21.7,36.0,33.4,50.01,R
3,Arizona,AZ,AZ-3,2014,6.2,76.1,12.5,2.0,2.3,3.8,25.1,22.6,25.3,13.7,13.2,77.2,17.0,10.7,40734,18.0,28.0,28.3,6.6,17.6,21.0,12.306,8.693999999999999,50.0,82.9,757119,31.0,74.3,4.5,3.7,1.8,61.6,31.8,36.3,21.3,10.7,30.8,28.8,29.4,9.7,1.3,26.1,26.5,31.3,16.1,55.72,D
4,Arizona,AZ,AZ-4,2014,4.3,77.6,12.1,0.6,2.0,1.7,29.9,22.7,24.5,11.5,11.4,75.8,16.4,7.1,43771,12.6,33.4,24.2,14.4,17.1,9.1,5.4691,3.6309,13.9,84.5,734258,47.2,88.6,1.8,1.9,1.5,18.0,22.0,26.0,25.9,26.1,25.7,30.8,30.1,11.1,2.4,13.3,30.5,37.2,18.9,69.96,R
5,Arizona,AZ,AZ-5,2014,3.8,78.9,9.8,0.9,0.6,2.8,40.8,16.2,27.4,7.8,7.9,82.1,11.1,4.6,65129,8.8,27.8,21.8,9.3,16.7,9.7,4.9373,4.7627,15.0,91.4,781441,36.5,85.8,2.7,1.3,4.8,18.6,30.1,30.8,23.6,15.4,17.0,20.4,32.5,24.5,5.6,7.5,22.5,36.3,33.6,69.58,R
6,Arizona,AZ,AZ-6,2014,4.1,77.4,7.0,2.0,1.9,2.2,44.4,15.9,26.9,6.5,6.3,83.4,9.4,5.1,61389,10.6,38.5,26.9,7.9,15.8,13.7,8.3022,5.3978,18.1,91.2,737185,41.4,85.9,2.2,1.4,5.2,15.9,22.6,32.7,28.1,16.7,17.1,23.3,30.0,19.9,9.7,7.5,17.9,32.2,42.5,64.86,R
7,Arizona,AZ,AZ-7,2014,6.2,70.9,15.8,4.6,2.3,3.0,21.4,24.0,25.5,14.0,15.0,83.2,10.2,13.9,34881,23.3,33.6,20.8,4.7,18.2,27.4,20.55,6.85,55.4,71.7,763089,28.8,63.0,9.5,2.6,3.4,64.0,34.9,38.0,20.1,7.0,38.2,27.6,24.8,8.5,0.8,32.2,27.7,26.2,13.9,74.85,D
8,Arizona,AZ,AZ-8,2014,3.4,80.6,9.2,0.6,0.7,2.3,38.5,16.7,27.9,7.4,9.4,80.9,13.5,5.2,59512,8.5,30.8,26.3,11.9,13.5,9.0,3.8160000000000003,5.184,15.3,89.7,760904,42.0,84.1,5.1,0.7,3.6,19.1,24.5,29.5,25.6,20.4,17.1,25.2,33.2,20.8,3.7,7.5,26.2,38.7,27.5,75.81,R
9,Arizona,AZ,AZ-9,2014,4.3,76.4,9.5,3.6,2.0,3.8,39.3,20.1,25.7,6.9,8.1,83.8,10.7,7.8,51106,15.9,47.1,41.0,7.2,23.7,14.9,9.7446,5.1554,25.5,86.6,745079,33.6,76.4,5.5,2.9,4.8,27.2,23.9,40.9,23.7,11.5,23.8,25.1,30.2,16.3,4.7,12.1,19.1,33.4,35.4,54.68,D
1,Arizona,AZ,AZ-1,2016,4.6,74.9,11.2,0.9,4.0,2.2,33.7,23.9,21.9,9.9,10.6,69.4,24.3,9.8,50537,10.8,31.4,26.2,9.8,17.2,5.6,3.0296,2.5704,26.6,85.5,766924,37.5,65.4,2.3,23.0,1.7,21.8,28.0,30.7,23.4,17.8,25.5,23.8,31.8,16.0,2.7,14.2,26.1,35.1,24.5,50.66,D
2,Arizona,AZ,AZ-2,2016,3.7,79.1,8.1,2.7,2.0,3.0,39.5,21.2,24.9,6.9,7.6,75.8,17.2,8.0,49072,7.6,40.1,31.8,12.9,19.4,11.7,5.8617,5.8383,22.2,91.0,722770,40.8,81.6,4.0,1.6,3.3,28.2,22.6,31.3,25.1,20.9,25.6,25.0,30.7,14.9,3.7,9.8,21.3,34.9,34.0,56.96,R
3,Arizona,AZ,AZ-3,2016,5.8,75.7,13.8,1.8,1.6,2.5,25.3,22.2,26.0,14.2,12.4,78.1,15.4,8.4,44224,12.4,28.5,29.4,6.9,17.3,21.7,11.8699,9.8301,51.1,89.0,752284,32.7,64.3,4.5,4.2,1.8,62.5,30.3,35.8,22.1,11.8,26.8,29.0,31.2,11.0,1.9,23.1,27.9,32.6,16.5,98.63,D
4,Arizona,AZ,AZ-4,2016,3.3,78.7,11.5,0.4,2.1,1.8,29.8,24.5,25.9,9.3,10.5,77.3,14.9,7.6,49466,8.0,35.1,24.1,13.8,19.6,7.0,3.71,3.29,13.9,88.5,753807,47.9,87.8,1.6,1.9,1.7,19.3,21.2,25.5,25.6,27.5,24.9,25.6,32.7,14.0,2.7,12.0,29.6,39.3,19.2,71.45,R
5,Arizona,AZ,AZ-5,2016,3.2,78.4,9.7,0.7,0.9,1.8,44.9,15.0,25.9,6.7,7.4,82.4,11.2,4.4,71693,6.5,27.8,22.4,9.0,19.0,10.2,4.9368,5.2632,14.8,93.9,785110,37.5,84.7,3.5,0.9,4.7,18.2,28.5,31.5,24.2,16.1,14.4,19.7,32.4,25.9,7.7,7.0,20.8,36.2,36.0,64.1,R
6,Arizona,AZ,AZ-6,2016,3.2,76.0,9.6,1.6,1.5,2.4,45.8,15.5,26.0,5.7,7.0,83.5,8.7,5.3,67830,8.6,38.6,25.2,7.6,15.9,14.4,7.8912,6.5088,19.6,94.5,764776,42.3,84.7,2.2,1.7,5.0,16.8,22.4,30.8,28.6,18.1,16.4,20.9,29.5,21.9,11.3,7.0,17.9,29.7,45.4,62.13,R
7,Arizona,AZ,AZ-7,2016,4.1,69.9,18.1,4.0,1.8,2.5,21.6,25.8,23.2,12.7,16.7,81.8,9.7,11.0,40991,18.2,32.1,19.3,4.6,16.5,25.6,18.3808,7.2192,54.1,86.4,818387,29.7,57.4,9.9,2.4,2.9,64.0,34.0,37.7,20.9,7.6,30.3,29.0,28.2,11.1,1.4,32.1,27.7,26.2,14.0,75.22,D
8,Arizona,AZ,AZ-8,2016,3.0,79.6,8.7,0.5,0.6,2.4,40.0,16.4,27.1,7.7,8.8,81.3,13.0,4.7,61754,6.5,29.9,24.0,11.6,13.9,9.6,3.984,5.6160000000000005,14.9,93.9,782511,42.6,84.3,3.9,0.6,4.1,19.2,25.1,27.9,25.4,21.7,14.6,23.6,34.1,23.1,4.5,8.2,24.3,38.1,29.4,68.55,R
9,Arizona,AZ,AZ-9,2016,3.9,76.7,8.7,3.2,2.4,3.6,40.7,18.3,25.7,7.3,8.1,82.9,11.2,7.6,55349,10.6,44.1,38.8,6.2,20.4,14.7,9.1287,5.5713,26.4,92.5,784502,33.5,73.6,6.5,3.5,5.2,27.2,24.4,41.3,22.9,11.4,21.6,23.7,30.7,18.2,5.8,9.9,20.4,32.2,37.5,60.92,D
1,Arizona,AZ,AZ-1,2018,3.7,75.4,11.1,1.0,3.8,2.8,34.2,21.1,22.7,11.0,10.9,72.2,21.5,8.7,55444,11.1,30.9,26.3,9.0,15.5,6.2,3.2239999999999998,2.9760000000000004,27.0,88.0,770392,38.4,65.5,2.5,23.5,1.7,23.0,25.6,30.7,23.1,19.3,22.4,22.8,32.5,18.7,3.6,13.4,26.4,34.9,25.3,53.83,D
4,Arizona,AZ,AZ-4,2018,3.6,77.6,10.8,0.3,1.8,2.4,32.6,22.2,22.9,10.8,11.5,77.2,15.5,6.7,52481,9.3,33.9,23.1,13.7,16.8,7.3,3.1536,4.1464,13.5,91.8,809426,48.5,89.4,1.8,1.4,1.7,19.8,20.6,25.5,26.0,27.7,22.3,25.1,34.7,15.3,2.6,11.4,29.7,38.8,20.1,68.17,R
6,Arizona,AZ,AZ-6,2018,2.3,74.3,8.9,1.7,1.7,1.9,45.0,17.2,24.0,6.5,7.3,84.0,9.4,4.2,73608,8.6,38.5,25.3,7.4,15.9,13.6,6.6912,6.9088,19.5,95.8,783621,42.7,84.6,3.4,1.6,4.7,17.9,20.9,31.3,27.8,19.0,14.1,19.2,31.0,23.8,11.9,6.9,17.8,30.4,45.1,55.19,R
7,Arizona,AZ,AZ-7,2018,4.6,73.6,15.2,3.8,1.2,2.4,23.0,24.6,22.0,12.4,17.9,84.0,9.1,7.3,46053,19.9,32.3,20.1,4.2,14.3,25.4,17.9324,7.4676,55.8,92.3,854749,29.1,71.1,9.7,3.5,2.3,64.2,33.6,38.5,20.5,7.1,23.9,30.1,30.2,12.9,2.8,28.5,28.0,27.8,15.6,85.61,D
8,Arizona,AZ,AZ-8,2018,2.6,78.4,10.5,0.6,1.0,2.1,38.4,16.6,26.3,7.4,11.3,80.5,13.6,3.9,68097,6.4,30.0,25.5,11.1,14.3,9.4,3.5626,5.8374,16.8,94.8,794820,43.2,82.6,4.9,0.9,4.5,20.3,22.9,28.5,24.8,23.0,14.0,20.9,34.6,24.2,6.3,7.5,25.1,36.5,31.0,55.46,R
2,Arizona,AZ,AZ-2,2018,3.2,78.6,8.5,2.1,2.3,3.3,38.9,22.9,21.1,8.1,9.0,75.8,17.5,6.4,53292,8.7,41.8,31.5,13.6,18.0,10.8,4.968,5.832000000000001,22.1,92.8,724747,40.9,80.6,3.9,1.8,3.2,29.2,21.7,32.0,24.2,21.6,22.5,24.5,30.6,17.6,4.9,9.2,21.9,35.6,33.3,54.73,D
5,Arizona,AZ,AZ-5,2018,2.7,76.4,10.2,0.9,0.7,2.6,45.8,14.8,24.8,6.5,8.1,83.0,11.8,3.6,78797,7.2,26.2,22.1,9.1,16.7,9.7,4.4523,5.2477,16.4,95.7,841344,38.2,83.3,4.2,1.3,5.0,17.4,27.9,31.0,23.8,16.8,12.2,17.3,31.6,29.5,9.4,6.8,20.2,34.8,38.2,59.42,R
9,Arizona,AZ,AZ-9,2018,2.6,75.4,10.3,2.6,2.1,3.8,41.8,18.5,23.9,5.9,9.9,84.2,10.4,6.2,60705,10.7,46.2,39.9,6.3,19.7,15.8,10.1436,5.6564,25.3,94.5,794188,34.1,73.8,6.3,3.1,6.4,26.9,22.0,41.5,23.8,12.0,18.9,21.9,31.4,20.8,7.0,9.1,18.9,32.0,40.0,61.09,D
3,Arizona,AZ,AZ-3,2018,3.4,76.7,13.3,1.5,1.7,2.7,26.3,22.6,21.4,14.4,15.4,77.8,16.0,8.3,50291,12.9,27.1,26.9,6.4,16.4,21.3,11.3103,9.9897,50.8,92.2,798359,32.4,70.7,5.0,5.0,2.4,63.5,28.7,35.8,21.7,12.5,24.0,25.5,33.1,14.9,2.4,23.0,28.3,32.5,16.3,63.87,D
1,Arkansas,AR,AR-1,2014,3.9,83.0,11.3,0.1,1.8,1.1,29.1,18.2,22.4,12.1,18.2,75.3,16.5,9.9,37247,10.8,33.3,20.6,9.3,16.3,1.8,1.2294,0.5706,2.6,75.9,723492,39.6,78.9,18.3,0.4,0.5,3.1,26.0,31.1,25.6,17.4,34.0,29.7,25.9,8.8,1.6,16.5,37.8,30.0,15.7,63.25,R
2,Arkansas,AR,AR-2,2014,3.8,83.6,9.9,0.6,1.3,1.2,37.3,17.8,25.3,9.3,10.3,76.1,18.4,7.7,46361,11.6,35.3,28.7,9.9,15.6,4.2,2.9652,1.2348,6.6,82.4,756326,36.6,73.0,22.2,0.2,1.4,5.1,26.3,34.4,25.1,14.2,26.2,26.6,29.9,14.3,3.0,10.2,31.0,30.6,28.3,51.86,R
3,Arkansas,AR,AR-3,2014,3.3,83.1,10.5,0.3,1.8,1.3,33.7,17.3,24.2,9.5,15.2,82.8,11.0,6.9,45351,12.7,32.6,27.1,8.4,17.2,9.4,6.5329999999999995,2.867,12.6,83.7,767904,35.4,86.1,3.1,1.1,3.3,13.8,28.0,34.3,24.1,13.6,26.5,27.9,28.0,13.7,3.7,15.8,31.5,27.7,24.9,79.41,R
4,Arkansas,AR,AR-4,2014,4.7,80.1,12.1,0.3,2.3,1.1,28.3,18.5,21.4,12.3,19.6,74.8,18.3,10.3,37793,11.9,32.8,21.3,9.3,13.3,3.3,2.3298,0.9702,5.4,74.6,718647,40.0,74.9,20.0,0.6,0.6,5.5,26.2,29.6,26.5,17.7,33.6,28.7,26.9,9.2,1.5,16.3,39.4,27.8,16.5,53.75,R
1,Arkansas,AR,AR-1,2016,3.9,82.6,10.5,0.2,2.5,1.1,29.0,17.5,22.6,12.3,18.6,75.7,16.8,9.3,40492,8.0,34.2,18.5,8.7,18.6,1.7,1.1067,0.5933,3.2,82.4,725733,39.9,77.7,17.8,0.3,0.6,3.2,26.0,30.1,26.0,17.7,31.8,26.8,29.4,10.2,1.8,16.7,38.1,28.6,16.5,76.28,R
2,Arkansas,AR,AR-2,2016,2.8,83.9,9.9,0.5,1.4,1.0,39.3,15.8,25.9,7.9,11.1,79.9,15.9,8.6,49498,6.7,35.7,26.9,8.7,13.9,4.0,2.6319999999999997,1.368,6.4,86.6,758929,36.9,71.0,22.3,0.3,1.6,5.2,26.6,33.2,25.3,15.0,24.7,25.7,29.7,15.8,4.1,9.3,30.5,30.3,30.0,58.34,R
3,Arkansas,AR,AR-3,2016,2.0,83.0,10.3,0.4,1.9,1.0,35.2,17.1,23.6,9.3,14.8,82.8,11.7,8.0,47903,9.1,34.1,26.9,8.9,16.2,9.3,6.3798,2.9202,13.7,89.3,794237,35.3,83.0,3.1,1.1,3.8,14.2,28.4,34.1,23.3,14.2,24.4,27.7,28.4,15.4,4.2,13.8,30.7,28.6,26.9,77.32,R
4,Arkansas,AR,AR-4,2016,3.1,82.7,10.1,0.3,2.4,1.7,29.0,17.7,23.5,11.2,18.6,77.7,16.9,9.6,39586,7.8,34.2,22.5,8.5,13.0,3.1,2.2041,0.8959,5.2,79.3,709349,40.8,74.4,20.0,0.8,0.5,5.6,26.2,28.4,27.0,18.4,32.3,28.1,27.3,11.0,1.4,16.5,38.0,29.7,15.8,74.9,R
1,Arkansas,AR,AR-1,2018,3.2,82.7,11.1,0.2,1.9,0.9,31.2,16.4,21.5,11.6,19.3,76.5,15.6,9.1,41553,8.1,33.5,19.5,8.4,17.7,1.7,1.2852,0.4148,3.3,86.5,724622,39.5,77.5,16.9,0.4,0.4,3.4,24.4,30.6,25.6,18.1,30.5,27.5,28.2,11.7,1.9,14.7,38.4,30.0,17.0,68.95,R
2,Arkansas,AR,AR-2,2018,2.4,84.1,9.0,0.4,1.2,1.7,38.8,17.3,22.7,7.9,13.3,78.1,16.3,7.8,50381,6.8,34.7,26.5,8.3,12.7,4.2,2.6754,1.5246,6.3,90.3,765124,37.7,70.6,22.9,0.5,1.8,5.3,26.0,33.2,24.9,16.0,24.0,25.7,26.9,18.2,5.1,10.4,29.4,30.1,30.0,52.13,R
4,Arkansas,AR,AR-4,2018,2.7,83.7,10.2,0.5,1.8,1.3,27.8,17.1,20.2,12.2,22.6,78.1,14.8,9.9,41230,8.8,33.2,21.3,8.1,12.9,3.3,2.0196,1.2804,6.5,84.6,704844,41.0,74.3,19.0,0.6,1.0,6.3,25.8,28.7,26.1,19.4,30.9,27.3,27.2,12.6,1.9,13.4,38.5,31.0,17.2,66.74,R
3,Arkansas,AR,AR-3,2018,2.1,80.4,11.5,0.4,1.4,1.2,35.0,16.9,21.0,8.7,18.4,81.0,11.8,6.2,52799,9.3,32.5,25.1,7.8,14.4,9.3,6.045,3.255,13.8,92.3,819235,35.5,83.0,3.1,1.2,4.0,14.7,27.5,34.4,23.7,14.4,21.3,25.4,30.9,17.3,5.1,12.9,30.2,28.6,28.3,64.74,R
1,California,CA,CA-1,2014,4.8,77.1,9.2,1.2,3.2,2.5,33.5,21.5,24.6,10.1,10.2,71.4,17.5,7.2,45923,10.8,37.8,32.0,10.5,16.9,6.3,3.1563,3.1437,11.9,84.0,710428,42.6,85.8,1.5,2.0,2.6,13.4,22.5,30.0,27.8,19.6,27.5,25.7,28.5,14.9,3.3,10.4,24.5,41.3,23.9,61.03,R
